Sentence_Preprocessed,Emotion
loved person went away wasnt necessary left reach goal,anger
feel bitter see become,anger
feel soooo impatient,anger
love feel totally distressed hopeless put bright eye record something sudden realization life shit worry,fear
almost feel greedy rd child many people know working hard,anger
love leave reader feeling confused slightly deceived,fear
know main reason feel like losing unsure ever get piece back quite ready talk yet,fear
feel uncertain decade ahead,fear
feel anxious worry case dont understand customer problem,fear
feel deeply truly content,joy
im feeling rushed like planned certain thing summer longer,anger
feel nervous going back america knowing expect transition like,fear
wanted feel greedy,anger
beginning feel fear nevertheless stubborn person swept superstition away reminded pay extra caution,anger
ive found im feeling pretty pumped,joy
feel happily rebellious,anger
going clean slate unilaterally forgiving feel wronged someone love intentionally carelessness thereby time forget perceived insult abuse,anger
thinking watching general conference feeling bit jealous,anger
went feel shaky,fear
wanted sacred experience feel divine communion god understanding wanted feel sublime love sacred term,joy
hate feeling indecisive im negative right dont know want,fear
feel le aggravated upset today think realized worth proved wasted time effort pointless stupid fine knowing im uneffected time least,anger
feeling remarkably grumpy mention foolish,anger
would like reduce amount jealousy feel god command u jealous feel every jew religious obey prohibition,anger
feel fine pretty rough running hour minute straight,joy
know feel bashful defending,fear
feeling nervous seemed calm collected,fear
feel acceptable even desirable,joy
feel optimistic settle long arrived,joy
feel afraid learned allow afraid,fear
felt unfairly treated airport,anger
feel suddenly startled catch breath think could day,fear
feel heading abyss created greedy greedy far greedy,anger
feel like life practically perfect every way right every happy,joy
feel useful,joy
search search search rarely feel satisfied solution found,joy
refers course though cant help feeling somehow ironically retrospect loudons son kate mcgarrigle rather talented rufus wainwright,joy
want future year made feel amazing best friend could ever ask,joy
uncomfortable feeling actually important lesson learn,joy
feel paranoid thinking looking window feeling insomnia creep,fear
feeling restless one home sunny outside,fear
ive found made huge difference especially finger ring skin feel much softer le irritated,anger
feel like audience smart enough know character well enough figure reading,joy
find feeling distraught getting older stressed impending responsibility ensue generally content little bit repressed anger make appearance instigated,fear
im still sure reilly feel need weird,fear
im feeling particularly generous,joy
feel like ask stay im selfish one even though one making plan know cant,anger
feel like cant cant give stubborn must win,anger
however feel bit envious people different perfume different season,anger
feeling brave go somewhere afield like walk woodland around farm beach full day activity,joy
ive grown mother treasure role family whereas used second guess lot feel unsure maternal skill,fear
start feeling getting overwhelmed frustrated tried open instead pushing deep slapping fake smile waiting boil,fear
think case whether people like anne coulter ed schultz really feel outraged viewer certainly feel kind outrage anger substance collective tirade,anger
eaten many restaurant feel enjoy cheaper much delicious eatery elegant lacking spice flavor place,joy
feel convinced plus many diverse price tag feel sure everyone come fund plot lighted relatively economically,joy
